job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Feldsher,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Pressecrete,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Shepherd,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
Swindler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
bartender,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
director,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
expeditionor,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
kur likeer,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
replacement,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
trustee,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
vs.,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
