job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Rescuer,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
Moniquer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Rescuer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
September,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Shepherd,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Swindler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
boss,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
boxer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
customs officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
developer,4.0,2.0,4.0,6.0,8.0,8.0,0.5,0.75
director,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
electricity,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
expeditionor,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
fighter,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
gangster,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
gardener,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
iguman,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
miner,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
mortar,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
replacement,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
scheduler,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
screenkeeper,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
vs.,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
