job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
A Religious Scientist,3.0,1.0,0.0,2.0,3.0,3.0,0.0,0.6666666666666666
Border,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Evolutionist,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
Manager,6.0,5.0,2.0,3.0,8.0,8.0,0.25,0.375
T-Example,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
artist,9.0,4.0,4.0,9.0,13.0,13.0,0.3076923076923077,0.6923076923076923
baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
basketball player,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
boxer,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
cartographer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
chemist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
director,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
employee,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
farmer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
fisherman,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
iconic,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
interviews ▸üer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
journalist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
lecturer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
lithographer,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
manager,6.0,1.0,1.0,6.0,7.0,7.0,0.14285714285714285,0.8571428571428571
math,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
miner,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
modeler,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
newspaper,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
official,8.0,7.0,1.0,2.0,9.0,9.0,0.1111111111111111,0.2222222222222222
payee,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
philosopher,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
pianist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
pilot,4.0,3.0,4.0,5.0,8.0,8.0,0.5,0.625
police officer,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
printer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
publicist,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
publisher,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
rap,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
reserve,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
soccer player,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
therapist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
witch doctor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
