job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Mamlog,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Medrate,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Methodist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
PTM,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Pharmacologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
accountant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
bartender,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
biker,1.0,0.0,4.0,5.0,5.0,5.0,0.8,1.0
boss,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
boxer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
customs officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
epidemiologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
maxer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
modeler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
promoter,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
scheduler,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
