job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Bananist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Chancellor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Pressecrete,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Swindler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Volklorist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
chromester,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
circus,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
concertmaster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
conductor,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
console,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
doubler,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
gangster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
gardener,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
iguman,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
manifest,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
operator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
pathologist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
waiter,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
