job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Rescuer,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
Chancellor,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
Moniquer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Servant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Volklorist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
concertmaster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
console,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
director,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
gangster,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
iguman,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
inspector,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
meteorologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
promoter,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
vs.,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
