job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
A Rescuer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
A literary scholar,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Advertor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
An Artist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Archaist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Autoist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Balmester,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Bananist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Border,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Captain,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
Chancellor,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Doctor,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
Encyclopedicist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Endocrinologist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Evolutionist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Feldsher,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
Freelancer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Laundryer,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
Linguist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Magnesium,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Mailer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Mamlog,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
Manager,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
Manicure,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Medrate,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
Methodist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
Moniquer,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
Officer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
