,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
20,Magnesium,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
27,Moniquer,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
28,Officer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
33,Pressecrete,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
35,Reanimatologist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
38,Servant,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
39,Shepherd,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
43,Volklorist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
61,bartender,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
71,cardiologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
90,customs officer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
91,dean,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
107,expeditionor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
117,guide,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
119,hogitator,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
122,iguman,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
125,instructor,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
127,interviews ▸üer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
152,modeler,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
160,official,1.0,3.0,8.0,6.0,9.0,9.0,0.8888888888888888,0.6666666666666666
169,pediatrician,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
184,producer,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
194,replacement,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
205,surgeon,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
214,trustee,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
