job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
A Rescuer,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
A literary scholar,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Advertor,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
An Artist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Archaist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Autoist,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
Balmester,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Bananist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Border,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Captain,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Chancellor,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Doctor,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
Encyclopedicist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Endocrinologist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Evolutionist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Feldsher,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
Freelancer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Laundryer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Linguist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Magnesium,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
Mailer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Mamlog,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
Manager,0.0,0.0,8.0,8.0,8.0,8.0,1.0,1.0
Manicure,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
Medrate,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
Methodist,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
