job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A literary scholar,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Chancellor,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
Loanor,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
Tracker,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
banker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
conductor,1.0,0.0,7.0,8.0,8.0,8.0,0.875,1.0
customs officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
electricity,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
engineer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
illuminator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
meteorologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
pathologist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
printer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
reporter,1.0,0.0,7.0,8.0,8.0,8.0,0.875,1.0
screenkeeper,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
worker,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
