,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
24,Manicure,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
30,PTM,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
38,Servant,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
63,beletter,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
76,chromester,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
86,consultant,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
90,customs officer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
125,instructor,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
147,medium,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
149,meteorologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
185,professor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
187,promoter,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
197,restortor,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
199,scheduler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
215,tutor,8.0,6.0,0.0,2.0,8.0,8.0,0.0,0.25
