,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
3,Advertor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
7,Balmester,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
12,Doctor,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
13,Encyclopedicist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
24,Manicure,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
27,Moniquer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
35,Reanimatologist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
40,Swindler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
43,Volklorist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
47,actor,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
55,assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
60,barber,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
66,boss,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
91,dean,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
108,eyeglass,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
112,fireman,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
114,gangster,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
125,instructor,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
127,interviews ▸üer,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
135,letterpresser,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
152,modeler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
153,mortar,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
154,motorist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
158,obstetrician,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
159,officer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
160,official,0.0,2.0,9.0,7.0,9.0,9.0,1.0,0.7777777777777778
177,pilot,0.0,2.0,8.0,6.0,8.0,8.0,1.0,0.75
178,player,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
183,printer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
199,scheduler,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
205,surgeon,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
