,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
16,Feldsher,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
27,Moniquer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
35,Reanimatologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
37,September,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
43,Volklorist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
64,biker,1.0,0.0,4.0,5.0,5.0,5.0,0.8,1.0
85,consul,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
93,developer,4.0,2.0,4.0,6.0,8.0,8.0,0.5,0.75
107,expeditionor,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
151,miner,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
187,promoter,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
218,witch doctor,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
