job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Captain,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Doctor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Manicure,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Moniquer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Pharmacologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Shepherd,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Swindler,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
boss,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
climber,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
director,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
electricity,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
epidemiologist,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
hogitator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
iguman,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
interviews ▸üer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
kraenist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
modeler,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
surgeon,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
vs.,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
