,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
22,Mamlog,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
26,Methodist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
27,Moniquer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
33,Pressecrete,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
35,Reanimatologist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
40,Swindler,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
46,accountant,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
55,assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
66,boss,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
85,consul,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
94,director,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
103,engineer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
107,expeditionor,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
112,fireman,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
118,harpist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
127,interviews ▸üer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
130,kraenist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
135,letterpresser,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
144,massager,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
146,maxer,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
149,meteorologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
152,modeler,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
153,mortar,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
162,organizer,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
178,player,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
185,professor,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
191,rap,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
199,scheduler,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
205,surgeon,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
214,trustee,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
218,witch doctor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
