,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
3,Advertor,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
11,Chancellor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
20,Magnesium,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
26,Methodist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
30,PTM,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
31,Palette,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
39,Shepherd,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
43,Volklorist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
46,accountant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
66,boss,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
75,choreographer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
91,dean,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
95,doctor,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
107,expeditionor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
119,hogitator,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
122,iguman,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
149,meteorologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
169,pediatrician,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
184,producer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
218,witch doctor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
