,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
16,Feldsher,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
22,Mamlog,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
25,Medrate,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
26,Methodist,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
27,Moniquer,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
30,PTM,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
33,Pressecrete,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
37,September,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
40,Swindler,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
43,Volklorist,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
46,accountant,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
55,assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
64,biker,0.0,1.0,5.0,4.0,5.0,5.0,1.0,0.8
83,console,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
91,dean,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
93,developer,4.0,2.0,4.0,6.0,8.0,8.0,0.5,0.75
95,doctor,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
101,electricity,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
107,expeditionor,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
122,iguman,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
124,immunologist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
129,juggler,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
146,maxer,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
147,medium,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
153,mortar,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
159,officer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
185,professor,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
187,promoter,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
192,rect,0.0,2.0,8.0,6.0,8.0,8.0,1.0,0.75
194,replacement,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
199,scheduler,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
201,screenkeeper,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
217,vs.,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
