job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Freelancer,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
Loanor,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
Moniquer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
PTM,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Reanimatologist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
September,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Servant,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Shepherd,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
actor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
ambassador,3.0,1.0,3.0,5.0,6.0,6.0,0.5,0.8333333333333334
antagonist,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
banker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
choreographer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
conductor,7.0,5.0,1.0,3.0,8.0,8.0,0.125,0.375
consultant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
counselor,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
customs officer,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
engineer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
entrepreneur,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
fisherman,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
guardian,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
guide,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
lithographer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
marketing,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
meteorologist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
operator,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
out-of-the-box,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
political scientist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
printer,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
publisher,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
rect,6.0,3.0,2.0,5.0,8.0,8.0,0.25,0.625
restortor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
teacher,2.0,0.0,10.0,12.0,12.0,12.0,0.8333333333333334,1.0
