,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
6,Autoist,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
18,Laundryer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
22,Mamlog,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
37,September,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
43,Volklorist,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
64,biker,1.0,0.0,4.0,5.0,5.0,5.0,0.8,1.0
79,climber,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
90,customs officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
94,director,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
96,doubler,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
105,epidemiologist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
108,eyeglass,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
110,fighter,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
111,financier,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
119,hogitator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
126,interviews,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
127,interviews ▸üer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
149,meteorologist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
152,modeler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
158,obstetrician,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
178,player,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
193,referee,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
215,tutor,3.0,1.0,5.0,7.0,8.0,8.0,0.625,0.875
