job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Rescuer,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
A literary scholar,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Aquarist,2.0,1.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.6666666666666666
Chancellor,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Encyclopedicist,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
Endocrinologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Feldsher,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Loanor,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Magnesium,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Manager,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
Merchandazer,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
Methodist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
Moniquer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Pressecrete,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Reanimatologist,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Servant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
Swindler,1.0,4.0,3.0,0.0,4.0,4.0,0.75,0.0
Tracker,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Volklorist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
agronom,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
archiver,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
banker,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
bar-yeriste,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
biologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
boss,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
cartographer,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
cashier,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
choreographer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
concertmaster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
consultant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
customs officer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
dean,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
economist,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
electricity,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
engineer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
entrepreneur,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
handler,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
hogitator,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
illuminator,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
lithor,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
manipulater,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
medium,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
meteorologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
modeler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
motorist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
newspaper,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
passer,1.0,2.0,2.0,1.0,3.0,3.0,0.6666666666666666,0.3333333333333333
printer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
producer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
professor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
promoter,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
reporter,3.0,1.0,5.0,7.0,8.0,8.0,0.625,0.875
resp. . . .,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
screenkeeper,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
speech therapist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
waiter,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
