,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
3,Advertor,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
4,An Artist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
8,Bananist,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
12,Doctor,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
17,Freelancer,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
28,Officer,1.0,4.0,3.0,0.0,4.0,4.0,0.75,0.0
39,Shepherd,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
46,accountant,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
68,broker,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
75,choreographer,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
81,concertmaster,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
87,controller,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
95,doctor,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
103,engineer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
108,eyeglass,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
113,fisherman,0.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0
117,guide,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
120,hospital,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
129,juggler,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
135,letterpresser,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
143,marketing,0.0,3.0,4.0,1.0,4.0,4.0,1.0,0.25
149,meteorologist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
153,mortar,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
161,operator,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
162,organizer,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
163,out-of-the-box,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
175,phraser,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
190,publisher,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
199,scheduler,1.0,4.0,3.0,0.0,4.0,4.0,0.75,0.0
208,teacher,4.0,0.0,8.0,12.0,12.0,12.0,0.6666666666666666,1.0
214,trustee,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
219,wizard,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
