,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
6,Autoist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
7,Balmester,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
13,Encyclopedicist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
14,Endocrinologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
27,Moniquer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
28,Officer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
32,Pharmacologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
47,actor,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
52,arbitr,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
70,businessman,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
75,choreographer,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
78,cleaner,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
86,consultant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
98,drummer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
105,epidemiologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
118,harpist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
133,lawyer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
144,massager,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
154,motorist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
165,passport,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
166,paster,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
178,player,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
190,publisher,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
195,reporter,5.0,1.0,3.0,7.0,8.0,8.0,0.375,0.875
199,scheduler,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
215,tutor,5.0,1.0,3.0,7.0,8.0,8.0,0.375,0.875
