job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A literary scholar,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Endocrinologist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Evolutionist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Linguist,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
Loanor,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
Mamlog,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
Manager,4.0,3.0,4.0,5.0,8.0,8.0,0.5,0.625
Medrate,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
Merchandazer,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Moniquer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Organist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
PTM,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Pressecrete,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Prime Minister,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Reanimatologist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
Servant,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
Stysiter,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
Tracker,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
accountant,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
actor,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
archaeologist,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
artist,8.0,5.0,5.0,8.0,13.0,13.0,0.38461538461538464,0.6153846153846154
basketball player,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
biologist,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
boxer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
browser,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
cardiologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
cellocelist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
choreographer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
circus,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
climber,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
commander,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
consultant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
customs officer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
dramatist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
electricity,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
employee,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
epidemiologist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
expeditionor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
gynecologist,0.0,1.0,3.0,2.0,3.0,3.0,1.0,0.6666666666666666
handler,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
harpist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
illuminator,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
instructor,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
interviews,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
interviews ▸üer,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
juggler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
lawyer,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
lecturer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
manipulater,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
mentor,4.0,3.0,4.0,5.0,8.0,8.0,0.5,0.625
meteorologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
modeler,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
mythologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
official,4.0,3.0,5.0,6.0,9.0,9.0,0.5555555555555556,0.6666666666666666
paleontologist,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
paster,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
pathologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
payee,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
poet,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
police officer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
presscffer,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
principal,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
producer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
professor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
promoter,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
proofreader,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
prosecutor,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
publisher,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
rap,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
reporter,6.0,4.0,2.0,4.0,8.0,8.0,0.25,0.5
resp. . . .,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
scheduler,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
speech therapist,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
therapist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
tour guide,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
waiter,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
wizard,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
writer,7.0,0.0,5.0,12.0,12.0,12.0,0.4166666666666667,1.0
