job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
A Museumist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Aquarist,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
Balmester,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
Evolutionist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
Manager,6.0,5.0,2.0,3.0,8.0,8.0,0.25,0.375
Medrate,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Merchandazer,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
Officer,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Organist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
PTM,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
Palette,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
Servant,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
T-Example,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
Volklorist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
account,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
actor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
admin,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
archaeologist,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
author,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
banker,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
basketball player,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
cartographer,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
chemist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
climber,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
consultant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
cosmeticologist,2.0,3.0,1.0,0.0,3.0,3.0,0.3333333333333333,0.0
dramatist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
editor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
employee,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
engineer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
entrepreneur,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
epidemiologist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
eyeglass,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
financier,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
guide,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
immunologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
interviews ▸üer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
lecturer,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
librarian,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
math,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
military,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
modeler,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
musician,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
mythologist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
obstetrician,1.0,4.0,3.0,0.0,4.0,4.0,0.75,0.0
officer,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
organizer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
out-of-the-box,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
paleontologist,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
payee,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
perfume,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
pharmaceutical,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
pilot,4.0,2.0,4.0,6.0,8.0,8.0,0.5,0.75
programmer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
publisher,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
rap,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
reporter,8.0,7.0,0.0,1.0,8.0,8.0,0.0,0.125
reserve,3.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0
reviewer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
scientist,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
seller,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
shareholder,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
soccer player,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
speech therapist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
therapist,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
trainer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
translator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
trustee,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
vocalist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
waiter,2.0,1.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.6666666666666666
witch doctor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
wizard,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
writer,6.0,0.0,6.0,12.0,12.0,12.0,0.5,1.0
