,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
25,Medrate,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
32,Pharmacologist,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
35,Reanimatologist,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
38,Servant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
39,Shepherd,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
41,T-Example,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
43,Volklorist,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
46,accountant,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
56,audience,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
68,broker,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
71,cardiologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
79,climber,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
83,console,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
91,dean,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
101,electricity,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
107,expeditionor,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
108,eyeglass,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
120,hospital,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
126,interviews,2.0,4.0,2.0,0.0,4.0,4.0,0.5,0.0
127,interviews ▸üer,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
130,kraenist,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
147,medium,1.0,3.0,3.0,1.0,4.0,4.0,0.75,0.25
158,obstetrician,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
162,organizer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
167,pathologist,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
184,producer,3.0,4.0,1.0,0.0,4.0,4.0,0.25,0.0
194,replacement,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
195,reporter,0.0,2.0,8.0,6.0,8.0,8.0,1.0,0.75
199,scheduler,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
203,soccer player,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
205,surgeon,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
